cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population
HPSI0215i-deyz_2,pool4,0.9199326986976626,-2.7138332142602084,-1.3030879330679936,0.3619956722706455,2.810083806955946,1.3061856305607655,-0.41729993751466227,0.4068663643868813,-0.15591886499400545,2.620601013740397,0.31564604039756333,0.037191407502404614,0.2207438281500481,0.07951266431548573,0.3284706636742546,0.01827508816928503,0.0001603077909586406,lodo,0,8,train,qualifying_only
HPSI0215i-fawm_2,pool4,4.786862556722729,-3.869781614866494,-3.8269139753217027,0.23996931602138688,2.104642841598833,-0.19900699029600769,-0.8319636515292148,1.7503571844760086,-1.5781285515736092,2.959050526979231,0.49476987447698745,0.0010460251046025104,0.034518828451882845,0.034518828451882845,0.4341004184100418,0.0010460251046025104,0.0,lodo,0,8,train,qualifying_only
HPSI0215i-hipn_1,pool6,-5.4607802273372315,1.9041767403177965,0.6018759010840837,-0.03869620842631627,-0.10034237595729448,-0.1361040337835603,0.46550329625136083,0.20849244708479264,0.10916154247853632,0.36816394763529425,0.18304431599229287,0.20616570327552985,0.279383429672447,0.11560693641618497,0.17726396917148363,0.038535645472061654,0.0,lodo,0,8,train,qualifying_only
HPSI0215i-hipn_1,pool7,10.268877814895252,3.057136527343269,1.0366111797720217,0.4984292433674108,-0.0640701812081809,-1.7191930243589102,2.2865648835247034,0.4769525181379314,0.006186642673205516,0.23703903374584964,0.6655376799322608,0.05927180355630821,0.14479254868755292,0.04826418289585097,0.04741744284504657,0.03471634208298052,0.0,lodo,0,8,train,qualifying_only
HPSI0215i-oilg_1,pool9,-4.5387156212208,5.322386093948836,3.113855026959109,-1.8352631792027374,-1.8159835752243934,-0.4190206272418782,-1.108807214343346,-0.7056826757062281,0.11046447095755929,-1.1788218058234043,0.07537361923326835,0.29759584145549056,0.3950617283950617,0.06172839506172839,0.01299545159194282,0.15334632878492527,0.003898635477582846,lodo,0,8,train,qualifying_only
HPSI0215i-romx_1,pool8,-6.834752821425683,5.158548469950616,2.0280072160564324,-1.178540468532772,-1.2471570317893301,0.43596332765336665,-0.5897109936722403,-0.6914865435916784,-0.36370586034019414,0.5828192648932582,0.05277973258268825,0.3103448275862069,0.40816326530612246,0.07741027445460943,0.03518648838845883,0.11541168191414497,0.0007037297677691766,lodo,0,8,train,qualifying_only
HPSI0215i-uiao_2,pool7,-0.6045207022696966,0.7050492716431999,-1.6534247772225719,1.006852996637556,1.4516934972516,1.169190347778263,-0.4305802225702659,-1.4980983718426328,0.8067713054077446,0.13877910360514356,0.20563230605738575,0.14558979808714134,0.1997874601487779,0.0818278427205101,0.2784272051009564,0.08660998937300744,0.0021253985122210413,lodo,0,8,train,qualifying_only
HPSI0215i-yoch_6,pool6,-11.035411748943915,8.800370171243925,-0.09469025738156465,-2.724166104500985,-1.0396894053602055,-1.460414873310379,0.5858323528399585,-0.5480287609204395,-2.059784958939373,0.3136436904280027,0.018113207547169812,0.4430188679245283,0.4271698113207547,0.04452830188679245,0.027924528301886794,0.038490566037735846,0.0007547169811320754,lodo,0,8,train,qualifying_only
HPSI0215i-zett_5,pool8,-6.9542616818261,-7.817407602996827,-2.989809671306067,2.064330382219959,-2.434787284496885,1.4346709334379422,3.1802279246863323,-0.06884473777494401,-0.5387841485621617,0.7376653363501905,0.09129287598944591,0.04432717678100264,0.137467018469657,0.16358839050131926,0.5551451187335092,0.008179419525065963,0.0,lodo,0,8,train,qualifying_only
HPSI0215i-zett_5,pool9,-4.512921287237287,-7.181469445444463,-3.27978921053015,3.387627200917327,-1.4413124132705177,0.058500509674852375,1.7468715280833973,-0.004246067939848877,0.326164910279549,-0.3086251351085463,0.11386566733929086,0.03978091669068896,0.1098299221677717,0.17670798501008936,0.5479965407898529,0.01181896800230614,0.0,lodo,0,8,train,qualifying_only
