gene,gene_index,PC,loading,abs_loading
GPSM2,1484,PC1,0.06776509156694378,0.06776509156694378
LMNB1,9444,PC1,0.06695078781065347,0.06695078781065347
RHEB,13157,PC1,0.06259221121855445,0.06259221121855445
UBB,26454,PC1,0.061028348403150225,0.061028348403150225
ANP32E,1825,PC1,0.060884475562724624,0.060884475562724624
DYNLL1,21548,PC1,0.060556720292502496,0.060556720292502496
DEK,10348,PC1,0.05979974808587021,0.05979974808587021
PSIP1,15725,PC1,0.056745994560970556,0.056745994560970556
MORF4L2,13871,PC1,0.05600303065532353,0.05600303065532353
LBR,2901,PC1,0.054270205355614255,0.054270205355614255
TRIM59,6761,PC1,0.053906815443248685,0.053906815443248685
ILF2,1974,PC1,0.05292048272548628,0.05292048272548628
MND1,8248,PC1,0.05280742130856978,0.05280742130856978
HNRNPR,482,PC1,0.05225902290152108,0.05225902290152108
SPC24,29834,PC1,0.051428685279408845,0.051428685279408845
RAD51AP1,20119,PC1,0.05089639429230253,0.05089639429230253
HMGN3,11108,PC1,0.049209244134112574,0.049209244134112574
MARCKS,11325,PC1,0.04905619374573388,0.04905619374573388
RPL12,16567,PC1,-0.04877824789277017,0.04877824789277017
SNHG8,8006,PC1,-0.04855179058038733,0.04855179058038733
ERH,22980,PC1,0.047813684569319705,0.047813684569319705
ZWINT,17356,PC1,0.04711121408775441,0.04711121408775441
STMN1,544,PC1,0.04612387245252351,0.04612387245252351
RPL10,14247,PC1,-0.04612285829224954,0.04612285829224954
CALM3,30837,PC1,0.045924445457011825,0.045924445457011825
HNRNPA0,9569,PC1,0.04497662016664058,0.04497662016664058
SMC3,17912,PC1,0.044615482437076366,0.044615482437076366
HSP90B1,21326,PC1,0.04364199135077305,0.04364199135077305
SNRPB,28608,PC1,0.04319269491468572,0.04319269491468572
PTGES3,20904,PC1,0.04267696660359385,0.04267696660359385
HMGN1,32526,PC1,0.04162469712753632,0.04162469712753632
HNRNPD,7776,PC1,0.040939088025531416,0.040939088025531416
RANBP1,31610,PC1,0.0406953564607515,0.0406953564607515
RPS3,19420,PC1,-0.04062034940373896,0.04062034940373896
ORC6,25337,PC1,0.04030379232852609,0.04030379232852609
CENPK,8967,PC1,0.04020444206390875,0.04020444206390875
RPS12,11447,PC1,-0.03987407540444493,0.03987407540444493
TYMS,27928,PC1,0.039786355455123344,0.039786355455123344
HSP90AA1,23384,PC1,0.03934944599467199,0.03934944599467199
HNRNPDL,7778,PC1,0.03927688263393352,0.03927688263393352
EPB41L4A-AS1,9318,PC1,-0.03903636332791567,0.03903636332791567
ACTB,11887,PC1,0.03878542042088281,0.03878542042088281
EIF3E,15270,PC1,-0.03865350914866957,0.03865350914866957
RRM2,3323,PC1,0.03806121513530312,0.03806121513530312
PSMA4,24244,PC1,0.03770835122453953,0.03770835122453953
PHGDH,1663,PC1,0.03734382473641153,0.03734382473641153
FUS,25264,PC1,0.037322101990927864,0.037322101990927864
HIST1H4C,10417,PC1,0.03719631216893514,0.03719631216893514
LSM4,30121,PC1,0.0364938398201666,0.0364938398201666
TUBB6,28063,PC1,0.03555990283637265,0.03555990283637265
SEPT7,12150,PC1,0.035461966823966184,0.035461966823966184
CCT5,8631,PC1,0.03539484959779283,0.03539484959779283
SH3BGRL3,556,PC1,-0.03525861867175997,0.03525861867175997
YWHAQ,3308,PC1,0.03524833228985069,0.03524833228985069
GGH,14884,PC1,0.03520640974893282,0.03520640974893282
H1FX,6467,PC1,0.03499937976009456,0.03499937976009456
TMSB15A,13846,PC1,0.0347498105108336,0.0347498105108336
FANCD2,5489,PC1,0.034687158190774066,0.034687158190774066
U2AF1,32581,PC1,0.03419362139318769,0.03419362139318769
RBBP7,13341,PC1,0.03416509608394212,0.03416509608394212
RPS28,29733,PC1,-0.03402617873445422,0.03402617873445422
SRSF7,3633,PC1,0.033751693033996825,0.033751693033996825
MARCKSL1,688,PC1,0.03364917973541087,0.03364917973541087
HNRNPA3,4756,PC1,0.033454301049928074,0.033454301049928074
ETFB,31072,PC1,-0.032878069583648716,0.032878069583648716
RBMX,14097,PC1,0.03285777492948482,0.03285777492948482
MIAT,31762,PC1,-0.032539036061986486,0.032539036061986486
RNASEH2A,29917,PC1,0.03248007652245308,0.03248007652245308
MORF4L1,24251,PC1,0.032366164405346266,0.032366164405346266
APOE,30758,PC1,-0.03203908912190533,0.03203908912190533
CFL1,19175,PC1,0.03198233114297373,0.03198233114297373
HNRNPM,29740,PC1,0.031943304546065275,0.031943304546065275
GAPDH,20155,PC1,-0.03186069310483605,0.03186069310483605
MFNG,31954,PC1,-0.03176130593264876,0.03176130593264876
UQCRB,15166,PC1,-0.03140375507312053,0.03140375507312053
SRP9,2905,PC1,0.03139358829950727,0.03139358829950727
SRSF3,10779,PC1,0.03095224014629032,0.03095224014629032
CCND2,20114,PC1,-0.030874360245144113,0.030874360245144113
SNRPG,3902,PC1,0.030865704629308606,0.030865704629308606
