model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
lasso,2,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,2,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,3,alpha=0.001,0.13280706562647612,0.0026926196126225302,0.16899562624077102,0.003141677173388267,0.6784723938266459,0.01203874550616337,0.05217391304347826,0.006658960749802039,plain,False,flat,,
lasso,3,alpha=0.01,0.13588587074558173,0.002297536948356688,0.16926323693891235,0.0028086825529966926,0.6774736735830589,0.010748670302316108,0.04927536231884058,0.005716019114105911,plain,False,flat,,
lasso,3,alpha=0.1,0.1786463323493342,0.0027459880136529043,0.20444059887517668,0.003179119089682302,0.5294984365967281,0.014542944525200096,0.007246376811594203,0.0,plain,False,flat,,
lasso,3,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,3,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,4,alpha=0.001,0.13237442614648326,0.0027506498115526146,0.1655864557765432,0.0037610978022901476,0.6912666792897146,0.014060032069354947,0.05217391304347826,0.006658960749802038,plain,False,flat,,
lasso,4,alpha=0.01,0.13496746203438154,0.0024624730851334083,0.1668692090438963,0.003198948147933496,0.6865066653445469,0.012029236523798325,0.053623188405797106,0.006110681468924402,plain,False,flat,,
lasso,4,alpha=0.1,0.17873821859944833,0.0027841488779211487,0.20454581480350437,0.0032434504614214017,0.5290099423697886,0.01484099486040828,0.007246376811594203,0.0,plain,False,flat,,
lasso,4,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,4,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,5,alpha=0.001,0.1311151833976541,0.002393180388620504,0.16435444684665873,0.0031814531826268246,0.695882348516504,0.011776463849057162,0.05434782608695652,0.007042212433388043,plain,False,flat,,
lasso,5,alpha=0.01,0.13487180635075274,0.0025786318713466733,0.16682503363588388,0.003391911594872577,0.6866596888854102,0.012751276330611707,0.05434782608695652,0.0061582361275275155,plain,False,flat,,
lasso,5,alpha=0.1,0.17873821859944833,0.0027841488779211487,0.20454581480350437,0.0032434504614214017,0.5290099423697886,0.01484099486040828,0.007246376811594203,0.0,plain,False,flat,,
lasso,5,alpha=1.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,5,alpha=10.0,0.26676852981593613,0.0008066728340637028,0.2987371612779808,0.0007045041312769614,-0.004414443978247573,0.0047446171750365985,0.0,0.0,plain,False,flat,,
lasso,6,alpha=0.001,0.13026344001310264,0.002317449489148616,0.16385743998861377,0.002873328078601393,0.6977371455938451,0.010548531138893655,0.051449275362318844,0.007974673439236317,plain,False,flat,,
